TimeID,Date,Day,Month,Quarter,Year
177,2014-04-30,30,4,2,2014
178,2014-05-01,1,5,2,2014
179,2014-05-02,2,5,2,2014
180,2014-05-03,3,5,2,2014
181,2014-05-04,4,5,2,2014
182,2014-05-05,5,5,2,2014
183,2014-05-06,6,5,2,2014
184,2014-05-07,7,5,2,2014
185,2014-05-08,8,5,2,2014
186,2014-05-09,9,5,2,2014
187,2014-05-10,10,5,2,2014
188,2014-05-11,11,5,2,2014
189,2014-05-12,12,5,2,2014
190,2014-05-13,13,5,2,2014
191,2014-05-14,14,5,2,2014
192,2014-05-15,15,5,2,2014
193,2014-05-17,17,5,2,2014
194,2014-05-20,20,5,2,2014
195,2014-05-21,21,5,2,2014
196,2014-05-22,22,5,2,2014
197,2014-05-23,23,5,2,2014
198,2014-05-24,24,5,2,2014
199,2014-05-25,25,5,2,2014
200,2014-05-27,27,5,2,2014
201,2014-05-28,28,5,2,2014
202,2014-05-30,30,5,2,2014
203,2014-06-01,1,6,2,2014
204,2014-06-05,5,6,2,2014
205,2014-06-07,7,6,2,2014
206,2014-06-10,10,6,2,2014
207,2014-06-13,13,6,2,2014
208,2014-06-14,14,6,2,2014
209,2014-06-15,15,6,2,2014
210,2014-06-22,22,6,2,2014
211,2014-07-02,2,7,3,2014
212,2014-07-09,9,7,3,2014
213,2014-07-11,11,7,3,2014
214,2014-07-16,16,7,3,2014
215,2014-07-18,18,7,3,2014
216,2014-07-19,19,7,3,2014
217,2014-07-20,20,7,3,2014
218,2014-07-28,28,7,3,2014
219,2014-07-29,29,7,3,2014
220,2014-07-31,31,7,3,2014
221,2014-08-05,5,8,3,2014
222,2014-08-08,8,8,3,2014
223,2014-08-14,14,8,3,2014
224,2014-08-15,15,8,3,2014
225,2014-08-17,17,8,3,2014
226,2014-08-18,18,8,3,2014
227,2014-08-19,19,8,3,2014
228,2014-08-22,22,8,3,2014
229,2014-08-26,26,8,3,2014
230,2014-08-28,28,8,3,2014
231,2014-08-30,30,8,3,2014
232,2014-09-03,3,9,3,2014
233,2014-09-05,5,9,3,2014
234,2014-09-09,9,9,3,2014
235,2014-09-15,15,9,3,2014
236,2014-09-22,22,9,3,2014
237,2014-09-23,23,9,3,2014
238,2014-09-25,25,9,3,2014
239,2014-09-27,27,9,3,2014
240,2014-09-29,29,9,3,2014
241,2014-10-02,2,10,4,2014
242,2014-10-04,4,10,4,2014
243,2014-10-10,10,10,4,2014
244,2014-10-15,15,10,4,2014
245,2014-10-18,18,10,4,2014
246,2014-10-19,19,10,4,2014
247,2014-10-26,26,10,4,2014
248,2014-10-27,27,10,4,2014
249,2014-10-29,29,10,4,2014
250,2014-10-31,31,10,4,2014
251,2014-11-01,1,11,4,2014
252,2014-11-03,3,11,4,2014
253,2014-11-04,4,11,4,2014
254,2014-11-06,6,11,4,2014
255,2014-11-08,8,11,4,2014
256,2014-11-09,9,11,4,2014
257,2014-11-12,12,11,4,2014
258,2014-11-23,23,11,4,2014
259,2014-11-26,26,11,4,2014
260,2014-12-04,4,12,4,2014
261,2014-12-06,6,12,4,2014
262,2014-12-09,9,12,4,2014
263,2014-12-10,10,12,4,2014
264,2014-12-14,14,12,4,2014
265,2014-12-17,17,12,4,2014
266,2014-12-18,18,12,4,2014
267,2014-12-20,20,12,4,2014
268,2014-12-25,25,12,4,2014
269,2014-12-26,26,12,4,2014
270,2014-12-27,27,12,4,2014
271,2015-01-01,1,1,1,2015
272,2015-01-02,2,1,1,2015
273,2015-01-03,3,1,1,2015
274,2015-01-04,4,1,1,2015
275,2015-01-05,5,1,1,2015
276,2015-01-06,6,1,1,2015
277,2015-01-07,7,1,1,2015
278,2015-01-08,8,1,1,2015
279,2015-01-10,10,1,1,2015
280,2015-01-11,11,1,1,2015
281,2015-01-12,12,1,1,2015
282,2015-01-14,14,1,1,2015
283,2015-01-15,15,1,1,2015
284,2015-01-16,16,1,1,2015
285,2015-01-17,17,1,1,2015
286,2015-01-18,18,1,1,2015
287,2015-01-19,19,1,1,2015
288,2015-01-20,20,1,1,2015
289,2015-01-23,23,1,1,2015
290,2015-01-24,24,1,1,2015
291,2015-01-25,25,1,1,2015
292,2015-01-26,26,1,1,2015
293,2015-01-27,27,1,1,2015
294,2015-01-29,29,1,1,2015
295,2015-01-30,30,1,1,2015
296,2015-01-31,31,1,1,2015
297,2015-02-01,1,2,1,2015
298,2015-02-02,2,2,1,2015
299,2015-02-03,3,2,1,2015
300,2015-02-04,4,2,1,2015
301,2015-02-05,5,2,1,2015
302,2015-02-06,6,2,1,2015
303,2015-02-09,9,2,1,2015
304,2015-02-10,10,2,1,2015
305,2015-02-11,11,2,1,2015
306,2015-02-12,12,2,1,2015
307,2015-02-13,13,2,1,2015
308,2015-02-14,14,2,1,2015
309,2015-02-16,16,2,1,2015
310,2015-02-18,18,2,1,2015
311,2015-02-19,19,2,1,2015
312,2015-02-21,21,2,1,2015
313,2015-02-22,22,2,1,2015
314,2015-02-23,23,2,1,2015
315,2015-02-24,24,2,1,2015
316,2015-02-25,25,2,1,2015
317,2015-02-26,26,2,1,2015
318,2015-02-27,27,2,1,2015
319,2015-02-28,28,2,1,2015
320,2015-03-01,1,3,1,2015
321,2015-03-02,2,3,1,2015
322,2015-03-03,3,3,1,2015
323,2015-03-04,4,3,1,2015
324,2015-03-05,5,3,1,2015
325,2015-03-06,6,3,1,2015
326,2015-03-07,7,3,1,2015
327,2015-03-08,8,3,1,2015
328,2015-03-10,10,3,1,2015
329,2015-03-11,11,3,1,2015
330,2015-03-12,12,3,1,2015
331,2015-03-14,14,3,1,2015
332,2015-03-15,15,3,1,2015
333,2015-03-16,16,3,1,2015
334,2015-03-17,17,3,1,2015
335,2015-03-18,18,3,1,2015
336,2015-03-19,19,3,1,2015
337,2015-03-20,20,3,1,2015
338,2015-03-23,23,3,1,2015
339,2015-03-24,24,3,1,2015
340,2015-03-25,25,3,1,2015
341,2015-03-26,26,3,1,2015
342,2015-03-28,28,3,1,2015
343,2015-03-29,29,3,1,2015
344,2015-03-30,30,3,1,2015
345,2015-03-31,31,3,1,2015
346,2015-04-01,1,4,2,2015
347,2015-04-02,2,4,2,2015
348,2015-04-03,3,4,2,2015
349,2015-04-04,4,4,2,2015
350,2015-04-06,6,4,2,2015
351,2015-04-07,7,4,2,2015
352,2015-04-09,9,4,2,2015
353,2015-04-10,10,4,2,2015
354,2015-04-11,11,4,2,2015
355,2015-04-12,12,4,2,2015
356,2015-04-13,13,4,2,2015
357,2015-04-14,14,4,2,2015
358,2015-04-15,15,4,2,2015
359,2015-04-17,17,4,2,2015
360,2015-04-18,18,4,2,2015
361,2015-04-20,20,4,2,2015
362,2015-04-21,21,4,2,2015
363,2015-04-22,22,4,2,2015
364,2015-04-23,23,4,2,2015
365,2015-04-24,24,4,2,2015
366,2015-04-25,25,4,2,2015
367,2015-04-26,26,4,2,2015
368,2015-04-27,27,4,2,2015
369,2015-04-29,29,4,2,2015
370,2015-04-30,30,4,2,2015
371,2015-05-01,1,5,2,2015
372,2015-05-02,2,5,2,2015
373,2015-05-03,3,5,2,2015
374,2015-05-04,4,5,2,2015
375,2015-05-05,5,5,2,2015
376,2015-05-06,6,5,2,2015
377,2015-05-07,7,5,2,2015
378,2015-05-08,8,5,2,2015
379,2015-05-09,9,5,2,2015
380,2015-05-10,10,5,2,2015
381,2015-05-11,11,5,2,2015
382,2015-05-12,12,5,2,2015
383,2015-05-13,13,5,2,2015
384,2015-05-14,14,5,2,2015
385,2015-05-15,15,5,2,2015
386,2015-05-16,16,5,2,2015
387,2015-05-17,17,5,2,2015
388,2015-05-20,20,5,2,2015
389,2015-05-21,21,5,2,2015
390,2015-05-22,22,5,2,2015
391,2015-05-23,23,5,2,2015
392,2015-05-24,24,5,2,2015
393,2015-05-25,25,5,2,2015
394,2015-05-27,27,5,2,2015
395,2015-05-28,28,5,2,2015
396,2015-05-29,29,5,2,2015
397,2015-05-30,30,5,2,2015
398,2015-06-01,1,6,2,2015
399,2015-06-02,2,6,2,2015
400,2015-06-05,5,6,2,2015
401,2015-06-06,6,6,2,2015
402,2015-06-07,7,6,2,2015
403,2015-06-10,10,6,2,2015
404,2015-06-11,11,6,2,2015
405,2015-06-13,13,6,2,2015
406,2015-06-14,14,6,2,2015
407,2015-06-15,15,6,2,2015
408,2015-06-17,17,6,2,2015
409,2015-06-18,18,6,2,2015
410,2015-06-20,20,6,2,2015
411,2015-06-22,22,6,2,2015
